model,dataset,method,stage,status,failure_reason,source_file,should_retry,retry_priority,paper_handling
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,Fine-tuning,privacy_sanitization,pending,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,yes,high,main_table_if_completed
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,Knowledge Neurons,privacy_sanitization,pending,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,yes,high,main_table_if_completed
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,In-context Editing,privacy_sanitization,failed,missing_or_failed_dependency,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,no,none,failure_table_only
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,PACE-Lite B20-K0,privacy_sanitization,pending,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,yes,high,main_table_if_completed
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,CAPE-Anchor B20-K1,privacy_sanitization,pending,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,yes,high,main_table_if_completed
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,CAPE-Anchor B20-K2,privacy_sanitization,pending,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,yes,high,main_table_if_completed
qwen2.5-7b,counterfact-200,IKE,public_factual_editing,failed,FileNotFoundError('Path ./hugging_cache/all-MiniLM-L6-v2 not found'),artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,no,none,failure_table_only
qwen2.5-7b,zsre-200,KN,public_factual_editing,failed,"OutOfMemoryError('CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 47.38 GiB of which 8.69 MiB is free. Including non-PyTorch memory, this process has 47.37 GiB memory in use. Of the allocated memory 46.80 GiB is allocated by PyTorch, and 118.42 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,no,none,failure_table_only
Qwen2.5-7B,zsre-200,IKE,public_factual_editing,missing_artifact,skipped after dependency/resource issue,expected_public_matrix,no,none,failure_table_only
GPT-J-6B,zsre-200,ROME_PACE_EDIT,public_factual_editing,calibration_needed,GPT-J public PACE/CAPE wrappers are skipped by default because the uncalibrated ROME-based closed-loop request set previously showed near-zero rewrite success while ROME/FT baselines were healthy. Set GPTJ_WRAPPER_POLICY=run_uncalibrated to run the old behavior after model-specific calibration.,artifacts/public_benchmarks_20260623_200/gptj_zsre/ROME_PACE_EDIT/summary.json,optional,medium,public_transfer_appendix_only
GPT-J-6B,zsre-200,ROME_CAPE_EDIT,public_factual_editing,calibration_needed,GPT-J public PACE/CAPE wrappers are skipped by default because the uncalibrated ROME-based closed-loop request set previously showed near-zero rewrite success while ROME/FT baselines were healthy. Set GPTJ_WRAPPER_POLICY=run_uncalibrated to run the old behavior after model-specific calibration.,artifacts/public_benchmarks_20260623_200/gptj_zsre/ROME_CAPE_EDIT/summary.json,optional,medium,public_transfer_appendix_only
GPT-J-6B,counterfact-200,KN,public_factual_editing,stopped,"coarse-neuron search too slow, approximately 50-160s per case; stopped as resource-limited partial check",artifacts/public_benchmarks_20260623_200/GPTJ_STOP_REASON.md,no,none,failure_table_only
GPT-J-6B,counterfact-200,IKE,public_factual_editing,stopped,GPT-J expansion stopped before IKE,artifacts/public_benchmarks_20260623_200/GPTJ_STOP_REASON.md,no,none,failure_table_only
GPT-J-6B,zsre-200,KN,public_factual_editing,stopped,coarse-neuron search too slow; not scheduled for GPT-J fast patch,artifacts/public_benchmarks_20260623_200/GPTJ_STOP_REASON.md,no,none,failure_table_only
GPT-J-6B,zsre-200,IKE,public_factual_editing,stopped,GPT-J expansion stopped before IKE,artifacts/public_benchmarks_20260623_200/GPTJ_STOP_REASON.md,no,none,failure_table_only
Qwen2.5-7B,counterfact-200,IKE,public_factual_editing,failed,missing all-MiniLM-L6-v2 / sentence-transformer dependency,explicit_failure_rules,no,none,failure_table_only
Qwen2.5-7B,zsre-200,KN,public_factual_editing,failed,CUDA OOM during coarse neuron search,explicit_failure_rules,no,none,failure_table_only
