model,dataset,task_type,method,method_family,base_editor,wrapper,n_cases,status,failure_reason,private_value_contains,pii_regex,sensitive_pattern,private_refusal,public_contains,public_refusal,same_subject_public,same_relation_public,general_public,reliability,generalization,locality,runtime_sec,selected_count,selected_subjects,privacy_requests,anchor_requests,source_file,source_status,notes
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,Leakage model,pre-edit model,missing,none,200,ok,missing,0.9387,0.665,0.9927,0,0.9766,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,canonical synthetic metric row
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,ROME direct,baseline editor,ROME,none,200,ok,missing,0.5787,0.4767,0.8563,0.5973,0.5591,0.2873,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,canonical synthetic metric row
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,MEMIT direct,baseline editor,MEMIT,none,200,ok,missing,0.814,0.5993,0.8853,0.195,0.8472,0.0897,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,canonical synthetic metric row
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,PACE target_only,closed-loop residual re-edit,ROME,PACE,200,ok,missing,0,0,0.0167,0.993,0.0032,0.9675,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,canonical synthetic metric row
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,PACE max1_per_case,closed-loop residual re-edit,ROME,PACE,200,ok,missing,0.0003,0.0003,0.02,0.987,0.0099,0.9611,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,canonical synthetic metric row
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,PACE max2/person,closed-loop residual re-edit,ROME,PACE,200,ok,missing,0.0243,0.015,0.074,0.9347,0.0984,0.8052,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,canonical synthetic metric row
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,CAPE-v0,closed-loop side-effect-aware wrapper,ROME,CAPE,200,ok,missing,0.0023,0.0023,0.019,0.989,0.006,0.9877,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,canonical synthetic metric row
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,CAPE-v1,closed-loop side-effect-aware wrapper,ROME,CAPE,200,ok,missing,0.0443,0.025,0.2587,0.8557,0.1119,0.6901,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,canonical synthetic metric row
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,Fine-tuning,baseline editor,FT,none,200,pending,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,pending server artifact
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,Knowledge Neurons,baseline editor,KN,none,200,pending,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,pending server artifact
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,In-context Editing,baseline editor,IKE,none,200,failed,missing_or_failed_dependency,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,not retrying IKE dependency path
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,PACE-Lite B20-K0,closed-loop residual re-edit,ROME,PACE,200,pending,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,pending server artifact
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,CAPE-Anchor B20-K1,closed-loop public-anchor wrapper,ROME,CAPE-Anchor,200,pending,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,pending server artifact
Qwen2.5-7B privacy-v2 merged,synthetic_privacy_v2,privacy_sanitization,CAPE-Anchor B20-K2,closed-loop public-anchor wrapper,ROME,CAPE-Anchor,200,pending,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,current_task_spec:2026-06-23 GPT review; audit against repo CSVs,canonical_or_pending,pending server artifact
