model,dataset,task_type,method,method_family,base_editor,wrapper,n_cases,status,failure_reason,private_value_contains,pii_regex,sensitive_pattern,private_refusal,public_contains,public_refusal,same_subject_public,same_relation_public,general_public,reliability,generalization,locality,runtime_sec,selected_count,selected_subjects,privacy_requests,anchor_requests,source_file,source_status,notes
Qwen2.5-7B,counterfact-200,public_factual_editing,FT,public baseline editor,FT,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,1,0.725,missing,99.0221,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/gptj_counterfact/FT
Qwen2.5-7B,counterfact-200,public_factual_editing,ROME,public baseline editor,ROME,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,0.995,0.82,missing,1311.41,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/gptj_counterfact/ROME
Qwen2.5-7B,zsre-200,public_factual_editing,FT,public baseline editor,FT,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,0.793012,0.808435,missing,2167.96,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/gptj_zsre/FT
Qwen2.5-7B,zsre-200,public_factual_editing,ROME,public baseline editor,ROME,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,0.9975,0.945083,missing,3359.2,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/gptj_zsre/ROME
Qwen2.5-7B,counterfact-200,public_factual_editing,FT,public baseline editor,FT,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,1,1,missing,79.6426,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/qwen_counterfact/FT
Qwen2.5-7B,counterfact-200,public_factual_editing,IKE,public baseline editor,IKE,none,200,failed,FileNotFoundError('Path ./hugging_cache/all-MiniLM-L6-v2 not found'),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/qwen_counterfact/IKE
Qwen2.5-7B,counterfact-200,public_factual_editing,KN,public baseline editor,KN,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,0.0075,0.0075,missing,1521.08,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/qwen_counterfact/KN
Qwen2.5-7B,counterfact-200,public_factual_editing,ROME,public baseline editor,ROME,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,0.995,0.755,missing,1067.14,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/qwen_counterfact/ROME
Qwen2.5-7B,counterfact-200,public_factual_editing,ROME_PACE_EDIT,public closed-loop wrapper,ROME,PACE-Edit,224,failed,RuntimeError('CUDA is required for public editing baselines.'),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/qwen_counterfact/ROME_PACE_EDIT
Qwen2.5-7B,zsre-200,public_factual_editing,FT,public baseline editor,FT,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,0.738413,0.746865,missing,337.515,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/qwen_zsre/FT
Qwen2.5-7B,zsre-200,public_factual_editing,KN,public baseline editor,KN,none,200,failed,"OutOfMemoryError('CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 47.38 GiB of which 8.69 MiB is free. Including non-PyTorch memory, this process has 47.37 GiB memory in use. Of the allocated memory 46.80 GiB is allocated by PyTorch, and 118.42 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/qwen_zsre/KN
Qwen2.5-7B,zsre-200,public_factual_editing,ROME,public baseline editor,ROME,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,1,0.976333,missing,1377.56,missing,missing,missing,missing,artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,json_rows,method_dir=artifacts/public_benchmarks_20260623_200/qwen_zsre/ROME
Qwen2.5-7B,counterfact-200,public_factual_editing,ROME_CAPE_EDIT,public closed-loop wrapper,ROME,CAPE-Edit,200,missing_artifact,no summary.json or table row found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_public_matrix,missing,required row absent from local artifact
Qwen2.5-7B,zsre-200,public_factual_editing,IKE,public baseline editor,IKE,none,200,missing_artifact,skipped after dependency/resource issue,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_public_matrix,missing,required row absent from local artifact
Qwen2.5-7B,zsre-200,public_factual_editing,ROME_PACE_EDIT,public closed-loop wrapper,ROME,PACE-Edit,200,missing_artifact,no summary.json or table row found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_public_matrix,missing,required row absent from local artifact
Qwen2.5-7B,zsre-200,public_factual_editing,ROME_CAPE_EDIT,public closed-loop wrapper,ROME,CAPE-Edit,200,missing_artifact,no summary.json or table row found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_public_matrix,missing,required row absent from local artifact
